experiment_id,attack,severity,params,image,psnr_attacked,ssim_attacked,blind_ber,blind_bit_accuracy,nonblind_ber,nonblind_bit_accuracy
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0870,32.4471,0.960706,0.21875,0.78125,0.09375,0.90625
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0871,34.4191,0.972512,0.234375,0.765625,0.0625,0.9375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0872,34.0198,0.979126,0.265625,0.734375,0.0625,0.9375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0873,34.0807,0.968783,0.28125,0.71875,0.046875,0.953125
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0874,40.268,0.983247,0.203125,0.796875,0.15625,0.84375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0875,32.658,0.968176,0.1875,0.8125,0.015625,0.984375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0876,36.3666,0.97067,0.328125,0.671875,0.09375,0.90625
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0877,37.5767,0.945055,0.1875,0.8125,0.125,0.875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0878,38.4197,0.987566,0.28125,0.71875,0.125,0.875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0879,36.805,0.979512,0.28125,0.71875,0.078125,0.921875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0880,41.41,0.9891,0.21875,0.78125,0.0625,0.9375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0881,39.6188,0.978349,0.1875,0.8125,0.0,1.0
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0882,36.1432,0.982249,0.265625,0.734375,0.03125,0.96875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0883,36.7867,0.983899,0.171875,0.828125,0.0625,0.9375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0884,35.3635,0.979998,0.21875,0.78125,0.0625,0.9375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0885,32.5177,0.942779,0.234375,0.765625,0.125,0.875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0886,35.3511,0.970748,0.3125,0.6875,0.03125,0.96875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0887,35.8354,0.948539,0.203125,0.796875,0.09375,0.90625
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0888,34.1593,0.981323,0.171875,0.828125,0.015625,0.984375
