experiment_id,alpha,bits,subband_order,image,psnr,ssim,mse,nonblind_ber,nonblind_bit_accuracy,blind_ber,blind_bit_accuracy,blind_exact,t_embed_ms,t_nonblind_ms,t_blind_ms,model_version
matrix-20260918-025538-98a873,0.005,8,LL,0834,47.4066,0.997998,1.181473,0.0,1.0,0.375,0.625,0,2.24,3.28,2.51,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0835,49.0709,0.998895,0.805369,0.0,1.0,0.375,0.625,0,2.15,3.2,2.66,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0836,47.6032,0.999091,1.129171,0.0,1.0,0.5,0.5,0,2.21,3.2,2.59,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0837,49.6061,0.999349,0.71198,0.0,1.0,0.75,0.25,0,2.18,3.26,2.65,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0838,49.5317,0.99762,0.724279,0.0,1.0,0.75,0.25,0,2.21,3.19,2.65,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0839,51.6855,0.999428,0.441096,0.0,1.0,0.375,0.625,0,2.13,3.23,2.58,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0840,50.7627,0.999311,0.545522,0.0,1.0,0.25,0.75,0,2.28,3.27,2.75,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0841,50.8005,0.998072,0.540787,0.0,1.0,0.375,0.625,0,2.2,3.27,2.63,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0842,47.4607,0.998798,1.166845,0.0,1.0,0.875,0.125,0,2.22,3.29,2.61,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0843,56.1269,0.999872,0.15863,0.0,1.0,0.375,0.625,0,1.85,2.69,2.34,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0844,47.2702,0.99743,1.219162,0.0,1.0,0.875,0.125,0,2.23,3.27,2.59,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0845,47.4004,0.998796,1.183151,0.0,1.0,0.5,0.5,0,2.15,3.31,2.53,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0846,49.6755,0.999412,0.700694,0.0,1.0,0.5,0.5,0,2.19,3.23,2.54,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0847,48.2763,0.998973,0.967051,0.0,1.0,0.25,0.75,0,2.15,3.37,2.57,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0848,48.6496,0.998215,0.8874,0.0,1.0,0.625,0.375,0,2.2,3.25,2.54,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0849,48.8561,0.999578,0.846196,0.0,1.0,0.5,0.5,0,2.17,3.37,2.55,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0850,48.5208,0.99869,0.914113,0.0,1.0,0.375,0.625,0,2.21,3.21,2.52,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0851,50.8485,0.994604,0.534846,0.0,1.0,0.625,0.375,0,2.13,3.36,2.56,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0852,53.5184,0.997377,0.28923,0.25,0.75,0.5,0.5,0,2.23,3.28,2.54,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0853,49.8955,0.996861,0.666087,0.0,1.0,0.375,0.625,0,2.15,3.35,2.55,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0854,47.8067,0.998777,1.077474,0.0,1.0,0.5,0.5,0,2.15,3.28,2.54,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0855,48.4511,0.998197,0.928894,0.0,1.0,0.375,0.625,0,2.13,3.29,2.53,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0856,52.1913,0.998503,0.392598,0.0,1.0,0.25,0.75,0,2.16,3.25,2.53,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0857,47.8219,0.997823,1.07371,0.0,1.0,0.75,0.25,0,2.13,3.31,2.54,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0858,51.1159,0.998132,0.502914,0.0,1.0,0.25,0.75,0,2.22,3.25,2.56,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0859,47.2264,0.999033,1.231517,0.0,1.0,0.75,0.25,0,2.14,3.22,2.52,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0860,49.1003,0.99954,0.799927,0.0,1.0,0.5,0.5,0,2.18,3.25,2.53,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0861,50.3503,0.998809,0.599859,0.0,1.0,0.75,0.25,0,2.15,3.3,2.56,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0862,47.2506,0.997729,1.224665,0.0,1.0,0.375,0.625,0,2.14,3.27,2.62,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0863,48.4988,0.998829,0.918757,0.0,1.0,0.5,0.5,0,2.14,3.2,2.53,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0864,50.6495,0.999216,0.559931,0.0,1.0,0.75,0.25,0,2.15,3.22,2.51,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0865,48.3942,0.999124,0.941152,0.0,1.0,0.75,0.25,0,2.13,3.31,2.53,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0866,47.4128,0.999355,1.179769,0.0,1.0,0.25,0.75,0,2.2,3.23,2.54,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0867,48.7526,0.999203,0.866603,0.0,1.0,0.625,0.375,0,2.14,3.3,2.56,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0868,48.0987,0.999904,1.007421,0.0,1.0,0.375,0.625,0,2.18,3.18,2.51,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0869,48.0141,0.998395,1.027232,0.0,1.0,0.75,0.25,0,2.15,3.22,2.5,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0870,48.5207,0.999438,0.914144,0.0,1.0,0.625,0.375,0,2.16,3.34,2.54,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0871,47.8927,0.999136,1.056356,0.0,1.0,0.625,0.375,0,2.12,3.24,2.56,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0872,47.7696,0.999361,1.086726,0.0,1.0,0.5,0.5,0,2.17,3.34,2.64,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
